id,name,latitude,longitude,v_grade,a_grade,commitment,quality,pitches,longest_pitch,hours,rock_type,wetsuits,alt_names,sources,description
62,Dead Log,-33.40166065,150.3312865,,,,,6.0,,,Sandstone,,"{""alternative_names"": [""Buttocks""]}",,
63,Death Trap,-33.31461858,150.2673659,,,,,,,,Sandstone,,"{""alternative_names"": [""Sheep Dip"", ""Upper Rocky Creek""]}",,
64,Deep Pass,-33.3396,150.3076,1.0,2.0,,2.0,0.0,0.0,3.0,Sandstone,1.0,,,
65,Deep Throat,-33.39479832,150.347619,,,,,2.0,40.0,,Sandstone,,,,
66,Devils Pinch,-33.16062206,150.2753717,,,,4.5,6.0,30.0,9.0,Sandstone,4.0,,,
67,Dione Dell,-34.0027,150.0909,3.0,2.0,2.0,2.2,6.0,25.0,6.0,,,"{""alternative_names"": [""Upper Christys Creek""]}",,
68,Disappointment,-33.26158402,150.3580943,,,,,,,,Sandstone,,,,
69,Donut Machine,-33.0047369,150.3636423,,,,,,,,Sandstone,,,,
70,Dry,-33.2572,150.213,1.0,1.0,1.0,3.5,0.0,0.0,2.0,Sandstone,1.0,"{""alternative_names"": [""Wolgan View"", ""Nobles""]}",,
71,Du Faur Creek,-33.51532436,150.3342573,1.0,2.0,3.0,3.5,0.0,0.0,10.0,Sandstone,,"{""alternative_names"": [""Clatterteeth""]}",,
72,Dumbano Creek,-33.43338,150.29553,,,,,,13.0,,Sandstone,4.0,,,
73,Empress,-33.72,150.3625,3.0,2.0,2.0,3.0,1.0,28.0,2.5,Sandstone,4.0,"{""alternative_names"": [""Valley-of-the-Waters""]}",,
74,Endiandra,-30.361,152.7801,,,,3.0,,,,,,,,
75,Escapable,-33.03573437,150.3798462,,,,,,,,Sandstone,,,,
76,Execution,-32.90304891,150.3730747,,,,,,,,Sandstone,,,,
77,Fairy Bower,-34.6781,150.3067,4.0,3.0,3.0,3.0,11.0,35.0,,,,,,
78,False Teeth,-33.14935292,150.2960847,,,,,,,,Sandstone,,"{""alternative_names"": [""Fireball""]}",,
79,Felters Creek,-30.8444,152.2812,,,,4.0,5.0,60.0,4.0,,,,,
80,Fergies,-32.91041249,150.3375823,,,,,,,,Sandstone,,,,
81,Ferny,-33.28487554,150.3090856,,,,,,50.0,,Sandstone,,,,
82,Ferny Cave,-33.54477844,150.3624235,,,,,,,,Sandstone,,,,
83,Firefly,-33.1795,150.2764,2.0,2.0,,3.0,,,,Sandstone,,,,
84,Five Day Creek,-30.5101,152.4008,5.0,2.0,4.0,4.0,19.0,50.0,,,,,,
85,Fortitude,-33.36233887,150.3475304,,,,,5.0,25.0,,Sandstone,,,,
86,Fortress,-33.6445,150.3593,2.0,2.0,,2.5,2.0,6.0,6.0,Sandstone,,,,
87,Four Dope,-33.39560736,150.343295,,,,,4.0,20.0,,Sandstone,,,,
88,Four Man,-33.37471416,150.3783179,,,,,,,,Sandstone,,,,
89,Freshwater Creek,-33.1515,150.3079,3.0,2.0,4.0,4.0,,25.0,10.0,Sandstone,5.0,,,
90,Galah,-33.25139906,150.3036745,,,,4.0,8.0,30.0,10.0,Sandstone,4.0,,,
91,Gap Creek,-33.0019,151.4342,3.0,2.0,4.0,2.0,4.0,45.0,6.5,Sandstone,,,,
92,Gateway,-33.36552818,150.3280931,,,,,1.0,5.0,,Sandstone,5.0,,,
93,Geronimo,-33.4815,150.3504,3.0,2.0,3.0,3.0,5.0,15.0,8.0,Sandstone,5.0,,,
94,Gleniffer,-30.3322,152.8926,6.0,5.0,5.0,5.0,15.0,70.0,,,5.0,,,
95,Golgotha,-33.00003737,150.3124217,,,,,,,,Sandstone,,,,
96,Goochs,-33.4555,150.2685,,,,2.0,1.0,8.0,,,,,,
97,Grand,-33.6563,150.3179,2.0,2.0,3.0,3.4,1.0,20.0,3.0,Sandstone,3.0,,,
98,Grassy,-32.96145268,150.2793664,,,,,,,,Sandstone,,,,
99,Great Uncle George,-33.73739966,150.3899922,,,,,,23.0,,Sandstone,,,,
100,Greenup,-32.94264744,150.2852894,,,,,,,,Sandstone,,,,
101,Hailstorm Retreat,-33.40417837,150.3226099,,,,,,,,Sandstone,,,,
102,Hand Over Hand,-33.54736663,150.3569612,,,,,,,,Sandstone,,,,
103,Harmonic Convergence,-33.33433848,150.3451577,,,,,,,,Sandstone,,,,
104,Hartleys Mistake,-33.1985,150.2763,2.0,1.0,,3.3,,,,,,,,
105,Hat Hill,-33.6037,150.3199,1.0,2.0,,3.7,0.0,0.0,7.0,Sandstone,,,,
106,Heart Attack,-33.2383,150.3029,4.0,1.0,4.0,4.0,6.0,37.0,10.0,Sandstone,3.0,,,
107,Hobnail,-33.5602,150.3645,2.0,2.0,,3.0,,,,Sandstone,,"{""alternative_names"": [""Range Creek""]}",,
108,Hole-in-the-Wall,-33.3754,150.3292,2.0,2.0,3.0,4.4,5.0,15.0,7.0,Limestone,5.0,,,
109,Honey Pot,-33.0250586,150.3020294,,,,,,,,Sandstone,,,,
110,Horseshoe,-33.4816,150.3547,3.0,2.0,,2.3,3.0,20.0,,Sandstone,,,,
111,Hot Cross,-32.97536123,150.3816317,,,,,,,,Sandstone,,,,
112,Ians,-32.92910672,150.3263306,,,,,,,,Sandstone,,,,
113,Interesting Creek,-33.45520096,150.3898795,,,,,0.0,0.0,,Sandstone,,,,
114,Inverse,-33.22288477,150.3614044,1.0,1.0,,1.7,0.0,0.0,,Sandstone,,,,
115,Jerrara,-34.7951,149.9994,4.0,2.0,4.0,3.0,9.0,60.0,13.5,,,,,
116,Joes,-33.4954,150.3563,1.0,2.0,1.0,2.0,0.0,0.0,,Sandstone,,,,
117,Jugglers,-33.6592,150.3294,3.0,1.0,2.0,2.3,8.0,20.0,4.0,Sandstone,,"{""alternative_names"": [""Pilcher""]}",,
118,Jumping Jacks,-32.94773066,150.311868,,,,,,,,Sandstone,,,,
119,Kalang Falls,-33.9843,150.1089,4.0,2.0,3.0,3.2,14.0,55.0,9.0,,3.0,,,
120,Kamarah Gully,-33.5225,150.292,2.0,2.0,2.0,3.0,2.0,8.0,,Sandstone,,,,
121,Kanangra Main,-33.9809,150.0991,4.0,3.0,5.0,4.6,17.0,58.0,12.0,Quartzite,5.0,"{""alternative_names"": [""Kanangra Falls""]}",,
122,King Georges Brook,-33.58129857,150.3839327,,,,,,,,Sandstone,,,,
123,Koombanda,-33.5261,150.2791,2.0,2.0,,2.5,,7.0,,Sandstone,,,,
124,Lady Northcote,-36.3936,148.2732,4.0,2.0,2.0,3.0,3.0,60.0,,,,,,
125,Landers Falls,-35.6396,148.3489,4.0,2.0,4.0,4.0,6.0,45.0,12.0,Rhyolite,,,,
126,Leatherface,-32.97090402,150.2993996,,,,,,,,Sandstone,,,,
127,Little Bell,-33.50365784,150.3367677,,,,2.0,0.0,0.0,,Sandstone,,,,
128,Little Dingo,-33.21087474,150.3478215,,,,,,,,Sandstone,,,,
129,Long Gully,-34.8479,150.0297,4.0,1.0,3.0,1.7,10.0,56.0,9.0,,1.0,,,
130,Looking-Glass,-33.18063131,150.2833296,,,,,7.0,25.0,,Sandstone,2.0,,,
131,Luna Park,-33.40976963,150.3310384,,,,,7.0,25.0,,Sandstone,,,,
132,Lunchtime,-32.95838189,150.3040588,,,,,,,,Sandstone,,,,
