PAGEID,Location,Coords,Region,Quality,Rating,"Min Time","Max Time",Hike,Rappels,Longest,"Best Season",Shuttle,Vehicle
74264,"Gleniffer Canyon","30° 19' 56.64"" S, 152° 53' 33.00"" E","Coffs Harbour",5,"<i>4C2</i>  <i>X</i> (v6a5 V)",,,9 mi,15r,229.659 ft,"When river is low",1 minutes,
80868,"Dandahra Canyon","29° 31' 15.24"" S, 152° 22' 14.16"" E","Gibraltar Range",5,"<i>4C2 IV R</i> (v5a5 V)",7 hr,10 hr,,9r,213.255 ft,Oct-Apr,0 minutes,Passenger
11672,"Claustral Canyon","33° 33' 33.12"" S, 150° 24' 11.88"" E","Blue Mountains",5,"3B III  (v3a2 III)",,,,4-6r,49.213 ft,"April, Sep;Oct;Nov;BEST in Dec - Mar",0 minutes,Passenger
